"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 27 12:03:35 GMT 2022","Thu Jan 27 12:03:36 GMT 2022","453","Subquery health check","","","","","Production project - wallet-clover is alive",""
"passed","Thu Jan 27 12:03:38 GMT 2022","Thu Jan 27 12:03:38 GMT 2022","684","Subquery health check","","","","","Staging project - wallet-karura is alive",""
"passed","Thu Jan 27 12:03:25 GMT 2022","Thu Jan 27 12:03:26 GMT 2022","639","Subquery health check","","","","","Production project - wallet-altair is alive",""
"passed","Thu Jan 27 12:03:46 GMT 2022","Thu Jan 27 12:03:46 GMT 2022","461","Subquery health check","","","","","Staging project - wallet-parallel is alive",""
"passed","Thu Jan 27 12:03:24 GMT 2022","Thu Jan 27 12:03:25 GMT 2022","532","Subquery health check","","","","","Production project - wallet-acala is alive",""
"failed","Thu Jan 27 12:03:48 GMT 2022","Thu Jan 27 12:03:49 GMT 2022","804","Subquery health check","","","","","Staging project - polkadot is alive",""
"failed","Thu Jan 27 12:03:25 GMT 2022","Thu Jan 27 12:03:25 GMT 2022","525","Subquery health check","","","","","Staging project - wallet-acala is alive",""
"failed","Thu Jan 27 12:03:36 GMT 2022","Thu Jan 27 12:03:37 GMT 2022","425","Subquery health check","","","","","Staging project - edgeware is alive",""
"passed","Thu Jan 27 12:03:49 GMT 2022","Thu Jan 27 12:03:50 GMT 2022","939","Subquery health check","","","","","Production project - wallet-quartz is alive",""
"failed","Thu Jan 27 12:03:44 GMT 2022","Thu Jan 27 12:03:44 GMT 2022","625","Subquery health check","","","","","Staging project - wallet-moonbeam is alive",""
"failed","Thu Jan 27 12:03:41 GMT 2022","Thu Jan 27 12:03:41 GMT 2022","439","Subquery health check","","","","","Staging project - wallet-kilt is alive",""
"failed","Thu Jan 27 12:03:54 GMT 2022","Thu Jan 27 12:03:55 GMT 2022","489","Subquery health check","","","","","Staging project - westend is alive",""
"passed","Thu Jan 27 12:03:36 GMT 2022","Thu Jan 27 12:03:36 GMT 2022","448","Subquery health check","","","","","Staging project - wallet-clover is alive",""
"passed","Thu Jan 27 12:03:27 GMT 2022","Thu Jan 27 12:03:28 GMT 2022","895","Subquery health check","","","","","Production project - wallet-astar is alive",""
"passed","Thu Jan 27 12:03:37 GMT 2022","Thu Jan 27 12:03:38 GMT 2022","671","Subquery health check","","","","","Production project - wallet-karura is alive",""
"passed","Thu Jan 27 12:03:52 GMT 2022","Thu Jan 27 12:03:53 GMT 2022","473","Subquery health check","","","","","Production project - wallet-statemint is alive",""
"failed","Thu Jan 27 12:03:30 GMT 2022","Thu Jan 27 12:03:31 GMT 2022","773","Subquery health check","","","","","Production project - wallet-basilisk is alive",""
"passed","Thu Jan 27 12:03:32 GMT 2022","Thu Jan 27 12:03:32 GMT 2022","649","Subquery health check","","","","","Production project - wallet-bifrost is alive",""
"failed","Thu Jan 27 12:03:31 GMT 2022","Thu Jan 27 12:03:32 GMT 2022","1023","Subquery health check","","","","","Staging project - wallet-basilisk is alive",""
"failed","Thu Jan 27 12:03:55 GMT 2022","Thu Jan 27 12:03:56 GMT 2022","437","Subquery health check","","","","","Staging project - wallet-shiden is alive",""
"passed","Thu Jan 27 12:03:33 GMT 2022","Thu Jan 27 12:03:34 GMT 2022","607","Subquery health check","","","","","Staging project - wallet-bit-country is alive",""
"passed","Thu Jan 27 12:03:53 GMT 2022","Thu Jan 27 12:03:54 GMT 2022","735","Subquery health check","","","","","Staging project - wallet-statemint is alive",""
"failed","Thu Jan 27 12:03:42 GMT 2022","Thu Jan 27 12:03:43 GMT 2022","746","Subquery health check","","","","","Staging project - kusama is alive",""
"failed","Thu Jan 27 12:03:40 GMT 2022","Thu Jan 27 12:03:41 GMT 2022","504","Subquery health check","","","","","Production project - wallet-kilt is alive",""
"passed","Thu Jan 27 12:03:44 GMT 2022","Thu Jan 27 12:03:45 GMT 2022","535","Subquery health check","","","","","Production project - wallet-moonriver is alive",""
"passed","Thu Jan 27 12:03:45 GMT 2022","Thu Jan 27 12:03:45 GMT 2022","690","Subquery health check","","","","","Staging project - wallet-moonriver is alive",""
"failed","Thu Jan 27 12:03:52 GMT 2022","Thu Jan 27 12:03:52 GMT 2022","598","Subquery health check","","","","","Staging project - wallet-statemine is alive",""
"passed","Thu Jan 27 12:03:48 GMT 2022","Thu Jan 27 12:03:48 GMT 2022","786","Subquery health check","","","","","Production project - polkadot is alive",""
"passed","Thu Jan 27 12:03:41 GMT 2022","Thu Jan 27 12:03:42 GMT 2022","531","Subquery health check","","","","","Production project - kusama is alive",""
"passed","Thu Jan 27 12:03:33 GMT 2022","Thu Jan 27 12:03:33 GMT 2022","571","Subquery health check","","","","","Production project - wallet-bit-country is alive",""
"passed","Thu Jan 27 12:03:26 GMT 2022","Thu Jan 27 12:03:27 GMT 2022","1122","Subquery health check","","","","","Staging project - wallet-altair is alive",""
"passed","Thu Jan 27 12:03:38 GMT 2022","Thu Jan 27 12:03:39 GMT 2022","1065","Subquery health check","","","","","Production project - wallet-khala is alive",""
"passed","Thu Jan 27 12:03:28 GMT 2022","Thu Jan 27 12:03:30 GMT 2022","1700","Subquery health check","","","","","Staging project - wallet-astar is alive",""
"failed","Thu Jan 27 12:03:55 GMT 2022","Thu Jan 27 12:03:55 GMT 2022","456","Subquery health check","","","","","Production project - wallet-shiden is alive",""
"passed","Thu Jan 27 12:03:45 GMT 2022","Thu Jan 27 12:03:46 GMT 2022","359","Subquery health check","","","","","Production project - wallet-parallel is alive",""
"passed","Thu Jan 27 12:03:46 GMT 2022","Thu Jan 27 12:03:47 GMT 2022","542","Subquery health check","","","","","Production project - wallet-parallel-heiko is alive",""
"passed","Thu Jan 27 12:03:39 GMT 2022","Thu Jan 27 12:03:40 GMT 2022","1039","Subquery health check","","","","","Staging project - wallet-khala is alive",""
"passed","Thu Jan 27 12:03:50 GMT 2022","Thu Jan 27 12:03:51 GMT 2022","873","Subquery health check","","","","","Staging project - wallet-quartz is alive",""
"passed","Thu Jan 27 12:03:43 GMT 2022","Thu Jan 27 12:03:44 GMT 2022","990","Subquery health check","","","","","Production project - wallet-moonbeam is alive",""
"passed","Thu Jan 27 12:03:32 GMT 2022","Thu Jan 27 12:03:33 GMT 2022","552","Subquery health check","","","","","Staging project - wallet-bifrost is alive",""
"passed","Thu Jan 27 12:03:54 GMT 2022","Thu Jan 27 12:03:54 GMT 2022","720","Subquery health check","","","","","Production project - westend is alive",""
"passed","Thu Jan 27 12:03:35 GMT 2022","Thu Jan 27 12:03:35 GMT 2022","573","Subquery health check","","","","","Staging project - wallet-calamari is alive",""
"passed","Thu Jan 27 12:03:34 GMT 2022","Thu Jan 27 12:03:35 GMT 2022","634","Subquery health check","","","","","Production project - wallet-calamari is alive",""
